date,temp_average,temp_max,curah_hujan,penyinaran_matahari,kelembaban_average,kec_angin_average,arah_angin_most,arah_angin,weather_encoded
26/11/2018,26.7,32.6,1.5,16,91,3.3,90.0,50,1
27/11/2018,26.7,32.4,18.2,96,88,3.0,45.0,40,1
28/11/2018,27.0,31.8,59.0,65,90,3.3,45.0,150,2
29/11/2018,27.3,31.6,0.4,60,87,3.0,270.0,210,2
30/11/2018,26.5,32.0,43.1,80,90,4.7,270.0,240,2
01/12/2018,26.3,32.6,0.0,100,85,5.4,270.0,310,2
02/12/2018,27.2,31.4,0.0,26,84,4.6,270.0,330,0
03/12/2018,27.2,32.8,33.8,81,85,4.3,315.0,280,2
04/12/2018,26.2,31.8,4.0,20,89,3.6,225.0,220,1
05/12/2018,26.8,31.6,5.7,25,92,3.6,45.0,300,2
06/12/2018,25.1,29.2,18.2,23,98,3.4,45.0,300,2
07/12/2018,26.1,31.3,8.5,61,90,3.0,270.0,330,2
08/12/2018,27.1,32.4,14.2,81,85,4.9,270.0,20,2
09/12/2018,27.1,31.8,0.2,69,85,2.9,180.0,350,1
10/12/2018,27.5,32.0,0.1,51,85,3.8,225.0,340,1
11/12/2018,27.2,31.2,2.0,39,83,4.7,270.0,260,1
12/12/2018,26.8,31.6,0.9,0,86,4.3,270.0,250,1
13/12/2018,27.0,31.4,0.0,95,88,4.4,180.0,300,0
14/12/2018,27.5,32.0,0.0,50,82,6.8,315.0,300,0
15/12/2018,28.0,32.0,7.0,13,81,4.7,270.0,300,1
16/12/2018,27.7,33.3,53.7,100,79,4.2,270.0,210,2
17/12/2018,26.7,33.2,0.0,14,81,4.5,315.0,310,0
18/12/2018,28.3,33.2,21.8,73,82,4.2,180.0,150,2
19/12/2018,27.5,33.0,41.3,73,82,4.1,247.5,250,2
20/12/2018,26.5,31.2,2.2,40,87,4.2,315.0,20,1
21/12/2018,27.1,30.8,0.0,0,89,4.0,315.0,320,0
22/12/2018,26.9,31.2,0.0,40,82,4.6,315.0,350,0
23/12/2018,26.8,32.2,0.0,10,82,3.9,315.0,300,0
24/12/2018,27.5,30.4,0.6,15,84,3.2,270.0,310,1
25/12/2018,28.2,33.0,0.0,94,76,5.3,270.0,290,0
26/12/2018,27.4,33.4,0.0,84,76,3.8,270.0,280,0
27/12/2018,28.0,34.6,0.4,100,77,4.4,180.0,200,2
28/12/2018,28.4,33.4,0.0,84,76,5.0,315.0,300,0
29/12/2018,27.0,30.6,0.0,5,83,4.1,315.0,310,0
30/12/2018,29.2,33.4,16.5,100,76,6.3,315.0,250,2
31/12/2018,26.6,32.4,7.6,1,87,6.9,315.0,320,2
01/01/2019,27.7,32.0,0.0,58,81,6.0,315.0,330,0
02/01/2019,27.9,32.1,0.0,0,81,6.6,270.0,310,0
03/01/2019,28.3,35.0,0.1,82,73,3.9,135.0,290,1
04/01/2019,29.1,33.4,0.0,72,77,3.5,45.0,30,0
05/01/2019,28.2,31.6,0.0,18,84,3.3,360.0,20,0
06/01/2019,25.8,32.2,5.0,38,92,2.8,315.0,290,1
07/01/2019,28.3,32.8,0.0,74,79,3.5,360.0,10,0
08/01/2019,27.2,33.5,11.2,56,83,4.0,225.0,220,2
09/01/2019,26.0,30.2,24.1,10,92,3.2,270.0,360,2
10/01/2019,25.8,30.2,22.8,12,94,2.9,180.0,20,2
11/01/2019,26.8,31.6,0.0,28,86,4.3,360.0,340,2
12/01/2019,27.9,32.2,0.0,75,79,4.0,315.0,340,0
13/01/2019,26.8,30.0,2.7,16,88,3.1,360.0,30,1
14/01/2019,26.5,31.0,42.4,21,86,4.5,360.0,330,2
15/01/2019,26.0,30.4,8.1,27,87,4.5,315.0,330,1
16/01/2019,27.1,32.0,0.0,28,80,4.7,315.0,310,0
17/01/2019,28.7,32.4,0.0,53,84,6.3,315.0,310,0
18/01/2019,27.2,30.0,0.2,18,84,7.0,315.0,310,1
19/01/2019,27.6,32.2,0.0,33,79,5.6,315.0,300,0
20/01/2019,27.2,32.4,8.2,47,83,5.6,360.0,320,1
21/01/2019,27.8,32.4,2.2,34,80,7.7,315.0,310,1
22/01/2019,26.5,31.8,2.2,24,80,5.7,360.0,300,1
23/01/2019,27.4,31.4,7.7,42,81,5.6,315.0,340,1
